"Label","message_user"
"0","Bạn ưiii"
"0","Cho mk xin sdt thầy đức đc ko ạ"
"2","Email cx đc hic"
"0","hello"
"5","Cho e hỏi"
"3","Chưa đc txuc nhiều với mt có học dc htttql k ạ"
"0","Rep đi ạaaaaa"
"5","ad cho em hỏi chút về ngành của mình với ạ"
"5","Em muốn hỏi ngành của mình học thì có những môn nào quan trọng  , kiểu trọng tâm ý ạ"
"0","Ad ơi"
"5","Ad cho mình xin list câu hỏi ôn tập môn phát triển hệ thống thông tin kinh tế được không ạ"
"0","Ad có ko z ad"
"5","Ad oi cho e hỏi danh sách trúng tuyển năm 2022 đã có chưa ạ"
"5","Em chào ad ạ, ad cho em hỏi là nếu học phần tin học đại cương được D, giờ em muốn quy đổi cc MOS thành điểm cải thiện điểm D kia được không ạ"
"5","Em chào ad ạ, ad cho em hỏi là nếu học phần tin học đại cương được D, giờ em muốn quy đổi cc MOS thành điểm cải thiện điểm D kia được không ạ"
"5","em muốn học ngành hệ thống thông tin quản lý mong các anh chị có thể cho em hỏi ngành này học có khó k và yêu cầu ngành này như nào ạ"
"5","Hock ngành này thì sau này em có làm các mảng vêc kinhe tế k ạ"
"5","Ngành này có phù hợp mấy bạn năng động k ạ"
"5","Sau ra làm về kinh tế đc k ạ"
"6","Vâng em cảm ơn ạ"
"5","Cho e hỏi học ngành này thì học bn % vêc tiếng anh ạ"
"5","Cho em hỏi ngành của mik thì tổng học là bn tín ạ"
"5","Có ai trực page k ạ"
"0","Chào admin ạ"
"0","Em là sinh viên cũ của trường mình"
"0","Hiện tại em đang làm việc ở một công ty IT"
"0","Công ty em là Ascend Technology trực thuộc Ascend Group Thái Lan"
"0","Sắp tới ngày 17/9 công ty em có tổ chức 1 buổi tech talk nho nhỏ"
"0","Và mong muốn nhận đc sự hưởng ứng cũng như tham gia của các bạn sinh viên"
"5","Không biết khoa mình có thể đăng và share bài về sự kiện này của công ty em lên page của khoa và của trường không ạ?"
"0","Link event trên page của công ty em đây ạ"
"0","Admin xem và cho em phản hồi nhé ạ"
"6","Nếu có thể share được cho các bạn sinh viên trường mình biết thì em cảm ơn nhiều lắm ạ"
"0","Vì 17/9 event đã tổ chức rồi nên admin xem xét và phản hồi sớm cho em nhé ạ"
"0","Để sự kiện có thể chạm tới nhiều bạn sinh viên nhất và tạo cơ hội cho các bạn được tiếp xúc với môi trường làm việc thực tế ạ"
"6","Em cảm ơn admin nhiều ạ."
"0","Mong thông tin sẽ chạm được đến nhiều bạn sinh viên và tạo được nhiều cơ hội cho các bạn cọ xát với môi trường làm việc thực tế"
"5","page cho mình hỏi là cuộc thi mis & tech có hình thức thi là như thế nào với thời gian thi cụ thể được ko ạ"
"0","Em chào admin ạ"
"0","Hiện tại e đang có ý định học ngành Mis và đang muốn mua laptop hỗ trợ việc học í ạ"
"5","Không biết là e nên mua loại laptop nào đáp ứng được nhu cầu học của ngành này k ạ"
"6","vâng e cảm ơn ạ"
"0","Em chào thầy cô"
"5","Dạ ad ơi cho em hỏi lần cuối trước khi chốt nv được không ạ"
"1","Em đã đỗ nghành htttql của trường"
"5","Nhưng em vẫn hơi phân vân về cơ hội việc làm của nghành và những khó khăn khi học nghành này ạ🥺"
"5","Ad có thể giải đáp giúp em để em có thể xem xét trước khi chốt nv được không ạ"
"6","Dạ vâng ạ em cảm ơn ad nhiều ạ🥰 em vẫn đặt nv nghành HTttql ạ mong em sẽ trở thành MISer K25 của BA ạ"
"0","ad ơi"
"5","sao sau chữ Hệ thống thông tin quản lý lại có dấu Sao vậy ạ"
"0","ad ơi"
"5","cho e hỏi ạ"
"5","khoa MIS của mh trong lớp thường có bn bạn nam ạ"
"5","khoa mh có những clb nào ạ"
"6","Dạ e cảm ơn"
"5","Ad ơi cho em hỏi học phí ngành hệ thống thông tin quản lý của trường năm sau là bn ạ"
"0","Tại em ko biết là 370k hay 430k một tín ạ"
"2","K23 đc đi k ạ :("
"0","ad ưi"
"2","e muốn hỏi k biết liệu đam mê nhưng máy hơi yếu đi học đc k ạ =("
"1","e ib họ r nhưng họ ""chảnh"" lắm =)"
"6","cảm ưn lời khuyên rất hữu ích của ad ạ"
"4","<3"
"2","à còn 1 câu hỏi nhỏ ạ, cô Giang Huyền đang dạy trường mình ạ =("
"1","Chắc chưa học môn của cô ạ :))))"
"6","E cảm ưn ad nhó :v 👉👈🤡"
"2","Ad ơi cho e hỏi bộ môn lập trình web mình sẽ học những gì vậy ạ :("
"5","cho e hỏi ngành CNTT bn tín chỉ ạ"
"5","dạ khoa cho em hỏi khi em đăng kí nguyện vọng vào ngành của mình thì phía sau có dấu sao là sao ạ?"
"5","Add cho e hỏi ak"
"3","Ngành htttql con gái học có nặng lắm k ak"
"0","Vì e thấy lquan nhiều đến mt"
"5","E chưa biết nhiều về mt thì có học đc k ah"
"5","Add cho e hỏi là cơ hội việc làm ngoài BA DA tester ra thì còn làm đc gì k ah"
"5","Với lại ngành này có cần mt loại tốt k ah hay chỉ cần loại đầy đủ chức năng bth là đc ạ"
"6","E cảm ơn ak"
"5","Add ơi e đỗ ngành htttql của hvnh thì học cơ sở ở Hà nội đúng k ạ"
"6","E cảm ơn ak"
"5","ac ơi cho em hỏi học phí khoa hệ thống thông tin quản lí được ko ạ"
"6","Dạ em cảm ơn ạ"
